contract,clause_text,label,predicted_label,confidence,filtered_prediction,low_confidence
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"(the ""Parties"" or ""Joint Venturers"" if referred to collectively, or the ""Party"" or Joint Venturer"" if referred to singularly)",Parties,Parties,0.991663932800293,Parties,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"All books and records of every kind and character, of the Joint Venture, and other information, shall be kept at the principal office of the Joint Venture, or at such other place or places as may be agreed upon by the Joint Venturers, and shall be fully available to each Joint Venturer or his duly authorized representative, all at reasonable times.",Audit Rights,Audit Rights,0.9942889213562012,Audit Rights,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,CCGI,Parties,Parties,0.9965456128120422,Parties,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"Collectible Concepts Group, Inc.",Parties,Parties,0.9968281388282776,Parties,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"Division of Income and Losses. All income and credits, and all losses and deductions shall be owned and shared among the Joint Venturers as follows: 50% to Collectible Concepts Group, Inc. 50% to Pivotal Self Service Tech, Inc.",Revenue/Profit Sharing,Revenue/Profit Sharing,0.5637114644050598,LOW_CONFIDENCE,True
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"If requested by a Joint Venturer, the Joint Venture books and records shall be audited as of the close of each year by an independent accountant acceptable to both Joint Venturers.",Audit Rights,Audit Rights,0.9949022531509399,Audit Rights,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,JOINT VENTURE AGREEMENT,Document Name,Document Name,0.9973280429840088,Document Name,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"No Joint Venturer shall be authorized or empowered to mortgage, hypothecate, pledge, sell, or transfer, an interest in the Joint Venture, nor confer on any successor or assignee the right to become a Joint Venturer without the consent of the other Joint Venturer.",Anti-Assignment,Anti-Assignment,0.9686089754104614,Anti-Assignment,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,PVSS,Parties,Parties,0.9967054724693298,Parties,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"Pivotal Self Service Tech, Inc.",Parties,Parties,0.9968497157096863,Parties,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"The Joint Venture shall commence on the 1st of March, 2003,",Effective Date,Effective Date,0.8721773028373718,Effective Date,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"The Joint Venture shall commence on the 1st of March, 2003, and shall be effective until February 28, 2004 unless extended by written agreement of the Joint Venturers not less than thirty (30) days prior to scheduled termination.",Expiration Date,Notice Period To Terminate Renewal,0.9422692060470581,Notice Period To Terminate Renewal,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"The Joint Venturers declare that in entering into this Agreement, they have contracted with reference to the laws of the Commonwealth of Pennsylvania, and the construction and interpretation of the terms and provisions of this Agreement shall be interpreted and construed under the laws of the Commonwealth of Pennsylvania, except in such cases and to such extent as the laws of another jurisdiction shall necessarily control.",Governing Law,Governing Law,0.9974785447120667,Governing Law,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"25th day of May, 1999.",Agreement Date,Agreement Date,0.554684042930603,LOW_CONFIDENCE,True
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,A commission rate of 12% will be paid for both new and renewal physicians liability business.,Revenue/Profit Sharing,Revenue/Profit Sharing,0.9888941645622253,Revenue/Profit Sharing,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,AGENCY AGREEMENT,Document Name,Document Name,0.99735426902771,Document Name,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Agency,Parties,Parties,0.9960224628448486,Parties,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Agency may not assign this Agreement without the written permission of MICOA or its successors or assigns.,Anti-Assignment,Anti-Assignment,0.9894840121269226,Anti-Assignment,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Appointed agents who are not a party to a current MICOA agency contract and/or are not affiliated with an agency which has an agency contract will receive a 1% commission rate for all lines of business stated above.,Revenue/Profit Sharing,Revenue/Profit Sharing,0.9887290000915527,Revenue/Profit Sharing,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Commission will decrease by .5% effective 10/1/99 as part of a repayment program under a project memorandum dated 4/7/99.,Revenue/Profit Sharing,Price Restrictions,0.9893741011619568,Price Restrictions,False
