contract,clause_text,label,predicted_label,confidence
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,"The Joint Venture shall commence on the 1st of March, 2003, and shall be effective until February 28, 2004 unless extended by written agreement of the Joint Venturers not less than thirty (30) days prior to scheduled termination.",Expiration Date,Notice Period To Terminate Renewal,0.9422692060470581
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Commission will decrease by .5% effective 10/1/99 as part of a repayment program under a project memorandum dated 4/7/99.,Revenue/Profit Sharing,Price Restrictions,0.9893741011619568
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,In return for the exclusive appointment of Agency by MICOA to sell its professional liability products listed on the,Non-Compete,Exclusivity,0.9793373346328735
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"In return for this payment, for a two-year period following the termination date, Agency will not directly or indirectly sell any professional liability insurance to any individuals or entities who were MICOA insureds in Nevada at the time of termination of this Agreement.",No-Solicit Of Customers,Insurance,0.9396392703056335
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","During the Term, neither Nantz Communications nor Nantz shall enter into any activity, employment, independent contract, or other business arrangement which conflicts with Nantz Communications' or Nantz's obligations under this Agreement or perform any service which reasonably appears to be an endorsement of the sportswear apparel, hats and shoes of a third party without the Company's prior written approval.",Exclusivity,Non-Compete,0.9542421102523804
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","Except as otherwise provided herein, and subject to the Restrictions, Nantz Communications agrees that such Products may prominently bear the Company's logo and shall not bear any other logos.",Exclusivity,License Grant,0.9392528533935547
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",The Company acknowledges that Nantz Communications' and Nantz's obligations to CBS or any other television station or network with which Nantz Communications or Nantz has a contract or arrangement shall take precedence over any other commitments of Nantz Communications or Nantz under this Agreement.,Most Favored Nation,Competitive Restriction Exception,0.45362138748168945
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"The Manufacturer agrees that the Customer has the right under this agreement to consider, source, promote, market and sell other product outside of the products listed in Schedule A of this agreement in line with the following assumptions: That they are non-competing products to the range of products or those products listed in schedule A of this agreement.",Non-Compete,Competitive Restriction Exception,0.8253752589225769
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"The Manufacturer covenants not to sell any product listed in this agreement, or product name (as listed in schedule A of this agreement) to any other party without prior written consent of the Customer.",Exclusivity,Anti-Assignment,0.6114795804023743
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.,Competitive Restriction Exception,Exclusivity,0.9067847728729248
